SPORT,Netball,,
Australia,Jamaica,72,51
Australia,South Africa,60,38
Australia,Northern Ireland,94,26
Australia,Barbados,79,24
Australia,Fiji,108,23
Jamaica,South Africa,57,46
Jamaica,Northern Ireland,79,41
Jamaica,Barbados,76,32
Jamaica,Fiji,88,30
South Africa,Northern Ireland,49,35
South Africa,Barbados,85,25
South Africa,Fiji,92,28
Northern Ireland,Barbados,49,39
Northern Ireland,Fiji,73,46
Barbados,Fiji,65,44
England,New Zealand,54,45
England,Uganda,55,49
England,Malawi,74,49
England,Scotland,74,28
England,Wales,85,31
New Zealand,Uganda,64,51
New Zealand,Malawi,53,57
New Zealand,Scotland,60,29
New Zealand,Wales,70,44
Uganda,Malawi,54,52
Uganda,Scotland,57,37
Uganda,Wales,76,40
Malawi,Scotland,51,50
Malawi,Wales,68,53
Scotland,Wales,51,47
SPORT,Men's Rugby Sevens,,
Australia,Samoa,24,7
England,Jamaica,38,5
Canada,Kenya,10,26
New Zealand,Zambia,54,0
Wales,Uganda,31,5
Fiji,Sri Lanka,63,5
Scotland,Papua New Guinea,27,0
South Africa,Malaysia,43,0
Australia,Jamaica,32,5
England,Samoa,33,0
Canada,Zambia,47,0
New Zealand,Kenya,40,7
Wales,Sri Lanka,42,12
Fiji,Uganda,54,0
Scotland,Malaysia,41,0
South Africa,Papua New Guinea,52,0
Samoa,Jamaica,36,7
England,Australia,26,17
Kenya,Zambia,47,0
New Zealand,Canada,33,7
Uganda,Sri Lanka,33,10
Fiji,Wales,21,17
Papua New Guinea,Malaysia,31,5
South Africa,Scotland,26,5
SPORT,Women's Rugby Sevens,,
Canada,South Africa,29,0
New Zealand,Kenya,45,0
Fiji,England,5,17
Australia,Wales,34,5
Canada,Kenya,24,12
New Zealand,South Africa,41,0
Fiji,Wales,29,7
Australia,England,29,12
South Africa,Kenya,10,19
New Zealand,Canada,24,7
England,Wales,45,0
Australia,Fiji,17,10
